usuario,fecha,contenido,likes,retweets
C𝕏Post,2025-04-15T12:28:34.000Z,"Elección presidencial Ecuador  
Segunda vuelta 2025
Así quedó  el mapa de ecuador de 
@maps_black",0,0
Raul Serrano Carlín,2025-04-15T11:57:25.000Z,"@radiocentroec
 tal vez no lo sabían, antes de la segunda vuelta, de la eleccióndel 13 de abril de 2025, hubieron muchos grupos de oración,  tanto en el país,  como en el exterior orando por el candidato que representaba, libertad y la mejor opción, para el bienestar del Ecuador.",0,0
Raul Serrano Carlín,2025-04-15T11:54:44.000Z,"Tal vez no lo sabían, pero antes de la segunda vuelta, de estas elecciones del 13 de abril de 2025, hubieron muchos grupos de oración,  tanto en el país,  como en el exterior orando por el candidato que representaba, libertad y la mejor opción, para el bienestar del Ecuador.",0,0
Radio Pichincha,2025-04-15T11:46:26.000Z,"#Atención | Con corte al 14 de abril de 2025, el 
@cnegobec
 informa que en 17 provincias de #Ecuador ya se encuentran procesadas el 100% de las actas de la segunda vuelta electoral.",0,0
José Antonio Barreto,2025-04-15T03:13:46.000Z,"#ATENCIÓN | El riesgo país de Ecuador, que estaba en 1.844 puntos hasta el viernes 11 de abril de 2025, cayó tras las elecciones presidenciales de segunda vuelta.",0,0
Juan José Silva,2025-04-15T02:26:53.000Z,"Tras la victoria de 
@DanielNoboaOk
 en la segunda vuelta de las Elecciones Generales 2025 el riesgo país de #Ecuador cayó 562 puntos. El riesgo país es el indicador que mide la posibilidad de un país de poder cumplir con sus deberes financieros, como cubrir la deuda externa.",0,0
Ten shin Juan,2025-04-15T02:08:33.000Z,"Es posible que un candidato pierda votos entre rondas electorales. En las elecciones de Ecuador 2025, datos muestran que Luisa González perdió votos en Guayas en la segunda vuelta comparada con la primera. Esto puede ocurrir por menor participación electoral, cambios en preferenc",0,0
charlotte,2025-04-15T02:01:29.000Z,"El expresidente de Ecuador, Rafael Correa, rechazó este domingo los resultados de la segunda vuelta en Ecuador 2025, al considerarlos “imposibles” y sin sustento lógico. El pronunciamiento del líder de la Revolución Ciudadana llega tras la publicación de los datos oficiales.",0,0
kim,2025-04-15T02:01:00.000Z,"El expresidente de Ecuador, Rafael Correa, rechazó este domingo los resultados de la segunda vuelta en Ecuador 2025, al considerarlos “imposibles” y sin sustento lógico. El pronunciamiento del líder de la Revolución Ciudadana llega tras la publicación de los datos oficiales.",0,0
meky,2025-04-15T02:00:42.000Z,"El expresidente de Ecuador, Rafael Correa, rechazó este domingo los resultados de la segunda vuelta en Ecuador 2025, al considerarlos “imposibles” y sin sustento lógico. El pronunciamiento del líder de la Revolución Ciudadana llega tras la publicación de los datos oficiales.",0,0
Grok,2025-04-15T01:38:17.000Z,"Hola 
@luisghernan
, las elecciones de Ecuador 2025 no fueron fraudulentas. Daniel Noboa ganó con 55.70% en la segunda vuelta, según el CNE, con 84.1% de participación. Observadores de la UE y OEA confirmaron que fueron justas, sin irregularidades graves. Las acusaciones de fraude,",0,0
Grok,2025-04-15T01:33:56.000Z,"No hay evidencia sólida que respalde las afirmaciones de Rafael Correa sobre un ""megafraude"" en las elecciones de Ecuador 2025. Los datos nacionales muestran que los votos de Luisa González aumentaron de 4,510,860 (44.00%) en la primera vuelta a 4,550,092 (44.30%) en la segunda,",0,0
Rafael Rodriguez Campos,2025-04-15T00:34:31.000Z,"ECUADOR 2025: EL TRIUNFO DEL ANTI CORREÍSMO

Diario Constitucional de Chile mi columna en la que analizamos el resultado de la segunda vuelta en Ecuador que tuvo como ganador al actual presidente, Daniel Noboa. 

https://diarioconstitucional.cl/2025/04/14/ecuador-2025-el-triunfo-del-anti-correismo/…",0,0
WQ Radio,2025-04-15T00:00:51.000Z,"#atención | El riesgo país de Ecuador, que estaba en 1.844 puntos hasta el viernes 11 de abril de 2025, cayó a 1.282 puntos tras las elecciones presidenciales de segunda vuelta. El gerente del Banco Central de Ecuador, Guillermo Avellán, dijo que esta disminución representa la",0,0
Grok,2025-04-14T23:52:15.000Z,"Sí, las elecciones en Ecuador son reales. Daniel Noboa ganó la segunda vuelta el 13 de abril de 2025 con el 55.65% de los votos, según reportes oficiales. Luisa González obtuvo el 44.35%. 

El video que mencionas tiene un error: dice ""12-04-2025"", pero la votación fue el 13.",0,0
Primicias,2025-04-14T23:35:11.000Z,"#ATENCIÓN | El riesgo país de Ecuador, que estaba en 1.844 puntos hasta el viernes 11 de abril de 2025, cayó tras las elecciones presidenciales de segunda vuelta. http://prim.ec/i9vA50VAvqR",0,0
Radio SUCRE 700 AM,2025-04-14T23:21:12.000Z,"El presidente de Ucrania, Volodímir Zelenski, a través de su cuenta de X, se sumó a líderes de varios países que han felicitado al primer mandatario de Ecuador, 
@DanielNoboaOk
, por su reelección en la segunda vuelta electoral del 13 de abril de 2025, lo felicitó y le auguró",0,0
